Marca temporal,Referencia (URL),Name of the case study,Domain,Year,Type,Brief description (optional),Variability and SPL Requirements
2019-10-28,https://dl.acm.org/doi/10.1145/3106195.3106217,Development approach for CPSs,Cyber-physical systems,2017,Academic case study,A vision on a development approach for variable cyber-physical systems.,"- Multiple viewpoints for different variability aspects: components (hardware, behavior), context
(environment, use case), hierarchy (intramodel, intermodel), quality (performance, safety), and
time (design, runtime).
- Complex constraints to model interactions between the viewpoints.
- Heterogeneity to the variability modeling: source-code fragments, hardware components, or
documentation.
- Dynamic SPLs for self-adapting and reconfiguration of components due to changes in their
environment.
- Optimization of configurations to find the most suitable configuration in particular use cases
and environments.
- Non-functional properties to achieved defined goals based on qualitative properties."
2019-10-28,https://www.researchgate.net/publication/282973107_Cyber-Physical_Systems_Product_Lines_Variability_Analysis_and_Challenges,Tank and quad-copter PLs,Cyber-physical systems,2015,Industrial case study,"An SPL to control the liquid level (water or chemical products) of a configurable tank system, and an SPL of Unmanned Aerial Vehicles (UAVs) to configure a quad-copter.","- Multiple viewpoints and hierarchical levels to represent different variability taxonomies: interaction (sensors and actuators), mechanical elements, hardware, and software.
- Complex constraints between the variation points of the different viewpoints (e.g., a mandatory sensor to measure the acidity if the tank's liquid is chemical).
- Non-functional properties to model the quality of the sensors and actuators (sensitivity, ranges, response time), and the performance and energy consumption of the global system.
- Numerical features to model parametric values of sensors that are manually set up by the users.
- Cardinality-based features to instantiate the same piece of software once or more as for example to control several physical processes or to obtain data from different sensors.
- Work at the architectural level considering resource constraints when implementing variability in the software architecture.
- Sampling of configurations to verify and validate sample configuration systems, involving techniques to choose configurations where different features interact among them at least once (e.g., t-way testing)."
2019-10-29,https://dl.acm.org/doi/10.1145/3233027.3233046,Train control system,Cyber-physical systems,2018,Industrial case study,"The European Railway Traffic Management System (ERTMS) is an international standard to improve the interoperability, performance, reliability, and safety of modern railways. ERTMS relies on the European Train Control System (ETCS) that is an Automatic Train Protection
(ATP) system which continuously supervises the train, ensuring that the safety speed and distance are not exceeded.","- Hierarchical levels to model the variability of the different levels of operation.
- Numerical features with accuracy and constraints between them and normal features. For example to specify the maximum distance that a train is allowed to travel, the maximum allowed speed depending on the track morphology.
- Other complex constraints related with dynamic variability such as temporal constraints (e.g., temporary speed restrictions and conditional or unconditional emergency stops)."
2019-10-30,https://ieeexplore.ieee.org/document/6572787,Kconfig and eCos systems,Operating Systems,2013,Real world case study,"Study of variability modeling languages used in real-world open-source operating systems. Concretely, Kconfig systems such as the Linux kernel, and the Component Definition Language (CDL) used in the eCos system.","- Domain-specific vocabulary (e.g., tristate features in Kconfig systems).
- Scaling variability modeling, since the models are significantly larger (e.g., 1,708 features on average), and have a very different shape.
- Data features, including integers,  oats, and strings (e.g., strings are used for file names).
- Constraints, including arithmetic and string operators.
- Derived (computed) features to simplify constraints and to perform calculations that otherwise would be hidden in the build system.
- Group constraints, being mostly xor (1..1) and few mutex (0..1).
- Three-valued logic binding modes to specify whether a feature implementation is linked statically, built for dynamic linking, or absent.
- Default values, either represented as literals or expressions for saving the user unnecessary configuration work.
- Visibility conditions to hide whole branches of the configurator hierarchy."
2019-11-05,https://www.sciencedirect.com/science/article/pii/S0950584914001220?via%3Dihub,Android and Debian,Operating Systems,2014,Real world case study,"Extension of work in (Berger et al. 2013b) to include Android, Debian and Eclipse.","- Static variability mechanisms such as code generators and conditional compilation to selectively compiles sources files.
- Dynamic variability mechanisms such as configuration parameters and component-oriented architectures to load components according to a specific configuration.
- Binding modes and in particular binding times to allow basic units or composite units to be installed and removed at run-time.
- Modularization mechanisms to deal with larger models and high number of dependencies."
2019-11-11,https://dl.acm.org/doi/10.1145/3302333.3302350,Service robots,robotics,2019,Academic and Industrial case study,Variability engineering in various academic and industrial service robots.,"-  Multitude of variability dimensions, such as the robot mechanical structure, the tasks to be performed, and the environmental conditions (context).
- Dependencies between the dimensions (e.g., different navigation algorithms are used based on the kinematics of the robot).
- Different variants of the same robot model to deploy different software based on the customization that is required by a specific customer.
- Multi SPLs to design each functional sub-system of an autonomous robot as an SPL.
- Modeling, composing, and deriving the software architecture of each sub-systems in terms of Model-Driven Development.
- A substantial degree of variability can only be resolved at runtime (e.g., obstacles of various kinds may require some flexibility in the behavior of the robot).
- Different operation modes (e.g., a sharing mode attribute to allow the end user to decide how the functionalities of the robot should be shared)."
2019-11-11,https://www.researchgate.net/publication/224829569_An_Approach_for_Representing_Domain_Requirements_and_Domain_Architecture_in_Software_Product_Line,Autonomous mobile robots,robotics,2012,Industrial case study,Variability of autonomous mobile robots at the architecture level using domains pecific languages and focusing on non-functional properties.,"- domain-specific languages (e.g., SysML and xADL) to represent core assets at the architectural level.
- Non-functional properties represented as attributes in the architecture: stimulus, source of stimulus, environment, artifact, response, response measure, and expected response."
2019-11-12,https://www.igi-global.com/gateway/article/119076,Service robots,robotics,2014,Real world examples,Variability modeling of non-functional properties for service robots.,"- Modeling the variability of non-functional properties.
- Separating the variability modeling of the non-functional properties from the functionality of the service robots."
2019-11-12,https://ieeexplore.ieee.org/document/6973810?arnumber=6973810&tag=1,Cloud robotics SPL,robotics,2014,Industrial case study,Definition of a cloud robotics SPL.,- Multiple viewpoints are required to model different dimensions of the robot.
2019-11-18,https://hal.sorbonne-universite.fr/hal-01353929,Landmark search robot,robotics,2016,Industrial case study,Definition of landmark search robots with variability.,- Variability is managed at the architectural level.
2019-11-18,https://link.springer.com/chapter/10.1007/11554844_6,Home service robots,robotics,2005,Legacy system,Definition of home service robots with variability.,- Refined feature models to add features extracted from legacy home service robots by applying a reverse engineering process.
